[2025-03-27 22:03:37.850] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":92}
[2025-03-27 22:03:37.850] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":92}
[2025-03-27 22:03:37.870] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":93}
[2025-03-27 22:03:37.871] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":93}
[2025-03-27 22:03:37.882] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":94}
[2025-03-27 22:03:37.882] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":94}
[2025-03-27 22:03:37.892] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":96}
[2025-03-27 22:03:37.892] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":96}
[2025-03-27 22:03:37.912] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":97}
[2025-03-27 22:03:37.912] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":97}
[2025-03-27 22:03:37.921] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":98}
[2025-03-27 22:03:37.921] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":98}
[2025-03-27 22:03:37.949] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":100}
[2025-03-27 22:03:37.949] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":100}
[2025-03-27 22:03:37.952] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6}
[2025-03-27 22:03:37.952] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6}
[2025-03-27 22:03:38.098] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":1}
[2025-03-27 22:03:38.099] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":1}
[2025-03-27 22:03:38.109] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":2}
[2025-03-27 22:03:38.109] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":2}
[2025-03-27 22:03:38.120] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":3}
[2025-03-27 22:03:38.120] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":3}
[2025-03-27 22:03:38.127] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":4}
[2025-03-27 22:03:38.128] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":4}
[2025-03-27 22:03:38.148] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":6}
[2025-03-27 22:03:38.148] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":6}
[2025-03-27 22:03:38.157] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":7}
[2025-03-27 22:03:38.157] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":7}
[2025-03-27 22:03:38.176] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":9}
[2025-03-27 22:03:38.177] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":9}
[2025-03-27 22:03:38.200] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":11}
[2025-03-27 22:03:38.201] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":11}
[2025-03-27 22:03:38.202] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":12}
